system_id,state_id,candidate_set_id,candidate_formula_ids_json,selected_grouped_terms_per_formula,selected_formula_id,full_compact_reference_formula_id,selection_matches_full_compact,exact_leading_model_selection_regret,direct_reference_formula_id,direct_formula_choice_regret,total_grouped_expectation_evaluations
H2,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",1,current_m3,m5_best,False,0.20970094328203803,,,4
H2,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",2,current_m3,m5_best,False,0.20970094328203803,,,8
H2,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",3,m5_best,m5_best,True,0.0,,,12
H2,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",4,m5_best,m5_best,True,0.0,,,16
H2,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",5,m5_best,m5_best,True,0.0,,,20
H2,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",1,current_m3,current_m3,True,0.0,current_m3,0.0,3
H2,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",2,current_m3,current_m3,True,0.0,current_m3,0.0,6
H2,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",3,current_m3,current_m3,True,0.0,current_m3,0.0,9
H2,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",4,current_m3,current_m3,True,0.0,current_m3,0.0,12
H2,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",5,current_m3,current_m3,True,0.0,current_m3,0.0,15
H2,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",1,current_m3,two_term_center,False,0.005769032821058229,,,4
H2,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",2,current_m3,two_term_center,False,0.005769032821058229,,,8
H2,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",3,current_m3,two_term_center,False,0.005769032821058229,,,12
H2,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",4,two_term_center,two_term_center,True,0.0,,,16
H2,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",5,two_term_center,two_term_center,True,0.0,,,20
H2,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",1,current_m3,two_term_center,False,0.005769032821058229,current_m3,0.0,3
H2,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",2,current_m3,two_term_center,False,0.005769032821058229,current_m3,0.0,6
H2,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",3,current_m3,two_term_center,False,0.005769032821058229,current_m3,0.0,9
H2,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",4,two_term_center,two_term_center,True,0.0,current_m3,0.14758852386005872,12
H2,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",5,two_term_center,two_term_center,True,0.0,current_m3,0.14758852386005872,15
H2,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",1,m5_best,m5_best,True,0.0,,,4
H2,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",2,current_m3,m5_best,False,0.20970094328203737,,,8
H2,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",3,m5_best,m5_best,True,0.0,,,12
H2,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",4,m5_best,m5_best,True,0.0,,,16
H2,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",5,m5_best,m5_best,True,0.0,,,20
H2,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",1,two_term_center,current_m3,False,0.1419041106549881,current_m3,0.14758852386005872,3
H2,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",2,current_m3,current_m3,True,0.0,current_m3,0.0,6
